Sterowanie [%],Fun 1,Fun 2,Fun 3,Fun 4,Fun 5,Fun 6
-10,0.0407632460039138,0.0391569130046937,0.051590929613262,0.0818575123362574,0.0636756021624149,0.0423187693950273
-20,0.0117771997434872,0.013457765241951,0.0131616239015319,0.173127000851909,0.0340620458776014,0.0135411419406906
-30,0.0495584956069077,0.059859614241434,0.0617444849809503,0.157903938770415,0.0805970936015848,0.061654590422205
-40,0.124088595683618,0.100447232707759,0.108255244907919,0.120493199099133,0.127631026156164,0.0957184955466419
-50,2.03634613216875,2.07552380391236,2.05923611455804,2.07221918739079,2.08608307133464,2.07722747712899
10,0.012504075127277,0.0132206011136966,0.0165789036846764,0.0430422692270654,0.0258816881656128,0.0139705494762407
20,0.0217236547413995,0.023278792012667,0.0230355783042387,0.0276327803202265,0.0268026042631359,0.0237064463854888
30,0.0110364127314572,0.0147095056241305,0.00754677164764234,0.0113609892406482,0.00987245111915272,0.0138565558719505
40,0.232731685024455,0.242184467114449,0.237889830336301,0.221594990615389,0.241085383833711,0.243279624388435
50,1.54950683737451,1.56833047740534,1.5704689951282,1.53818715970855,1.56274763264772,1.56084486672818
