Zakłócenie [%],Fun 1,Fun 2,Fun 3,Fun 4,Fun 5,Fun 6
-10,0.000232305984404548,0.000232305984404548,0.000232305984404548,0.0204820271175394,0.00287740283697071,0.000236262414721321
-20,0.00431564080943348,0.00431564080943348,0.00431564080943348,0.0633171296970256,0.0143063692703736,0.00446550019224492
-30,0.0220777172969232,0.0220777172969232,0.0506657584047465,0.0928194670405601,0.0555697681511927,0.0281338460069929
-40,0.096103353002047,0.0899486652211585,0.0918446714419228,0.102711291689676,0.108871947347026,0.0924163030616641
-50,0.0496078613529121,0.0495092163238457,0.0656799127025054,0.0929955824734727,0.0765795254948776,0.0540233582562084
10,0.000224361629842021,0.000224361629842021,0.000224361629842021,0.0069430762763387,0.00218403621641654,0.000227255706988919
20,0.00383530522384559,0.00383530522384559,0.00383530522384559,0.0239357757213044,0.0093017064330104,0.00391379755157804
30,0.0200650170520624,0.0200650170520624,0.0290741265647702,0.0426410610246214,0.0340021517614174,0.0222932711373304
40,0.0351599828538361,0.0445776847480002,0.0461934125308024,0.0491968134676137,0.0545342076900698,0.0450609130492512
50,0.0149914825122458,0.0161890060580141,0.0239190967608692,0.0466405981701364,0.0294592904198937,0.0176041934222324
