du_per,Error_Lin,Error_Rozm2,Error_Rozm3,Error_Rozm4,Error_Rozm5
-10,0.0715069653166776,0.0715069653166776,0.0715069653166776,0.0226896315760055,0.0226896315760055
-20,2.11205056567764,2.11205056567764,0.979520751548986,0.00887808982819762,0.00887808982819762
-30,15.7007146435617,15.7007146435617,0.388247045441548,0.665543510795064,0.0449611979075107
-40,63.6662312728242,63.6662312728242,0.425510670481177,7.44972558730891,0.103692458043531
-50,210.46634912681,210.46634912681,2.16287046585742,40.1986977393844,1.80143929209747
10,0.164280108317599,0.164280108317599,0.164280108317599,0.012504075127277,0.012504075127277
20,2.46232352179552,0.137852314210543,0.137852314210543,0.0217236547413995,0.0217236547413995
30,11.5066735200733,0.0696062472026607,0.0696062472026607,0.0110364127314572,0.0110364127314572
40,28.6400977275047,0.289248333041537,0.289248333041537,0.232731685024455,0.232731685024455
50,53.5368596860147,1.61881490159096,1.61881490159096,1.54950683737451,1.54950683737451
